Stkcd,Trddt,Clsprc,Dnshrtrd,Adjprcwd,Adjprcnd,Trdsta
600309,2013/5/30,18.01,10516310,465.455062,376.4525,1
600309,2013/5/31,17.61,14884535,455.117359,368.091534,1
600309,2013/6/3,17.12,21311980,442.453673,357.84935,1
600309,2013/6/4,16.99,14904832,439.09392,355.132036,1
600309,2013/6/5,17.33,11294811,447.880967,362.238857,1
600309,2013/6/6,16.97,8924079,438.577035,354.713988,1
600309,2013/6/7,16.84,8148409,435.217282,351.996674,1
600309,2013/6/13,16.18,14529788,418.160073,338.20108,1
600309,2013/6/14,16.19,7031236,418.418516,338.410104,1
600309,2013/6/17,16.06,7277311,415.058763,335.69279,1
600309,2013/6/18,16.23,6206464,419.452287,339.246201,1
600309,2013/6/19,15.94,7752095,411.957453,333.184501,1
600309,2013/6/20,15.62,9081739,403.687291,326.495728,1
600309,2013/6/21,15.91,11403410,411.182125,332.557428,1
600309,2013/6/24,15.94,17140445,411.957452,333.184501,1
600309,2013/6/25,16.64,19673902,430.048432,347.816192,1
600309,2013/6/26,16.33,13466617,422.036712,341.336443,1
600309,2013/6/27,15.84,15286721,409.373026,331.094259,1
600309,2013/6/28,16.02,11119069,414.024992,334.856694,1
600309,2013/7/1,16.44,11109160,424.87958,343.635708,1
600309,2013/7/2,17.13,17214692,442.712117,358.058375,1
600309,2013/7/3,17,11152699,439.352364,355.341061,1
600309,2013/7/4,17.19,9148681,444.262773,359.31252,1
600309,2013/7/5,17.22,8332766,445.038101,359.939592,1
600309,2013/7/8,16.88,10126839,436.251054,352.832771,1
600309,2013/7/9,16.5,7995819,426.430236,344.889853,1
600309,2013/7/10,16.76,11696849,433.149743,350.324481,1
600309,2013/7/11,17.27,16108015,446.330314,360.984713,1
600309,2013/7/12,16.93,9584150,437.543267,353.877892,1
600309,2013/7/15,17.05,6225999,440.644578,356.386182,1
600309,2013/7/16,17.24,8559332,445.554987,360.357641,1
600309,2013/7/17,16.69,9028307,431.340646,348.861313,1
600309,2013/7/18,16.56,7744320,427.980893,346.143999,1
